base_id,reason,status_code,message
qwen3.5-plus,request_failed,404,404 Client Error: Not Found for url: https://api.clavis.to/catalog/model/qwen3.5-plus
qwen3.6-27b,request_failed,404,404 Client Error: Not Found for url: https://api.clavis.to/catalog/model/qwen3.6-27b
qwen3.6-35b-a3b,request_failed,404,404 Client Error: Not Found for url: https://api.clavis.to/catalog/model/qwen3.6-35b-a3b
qwen3.6-flash,request_failed,404,404 Client Error: Not Found for url: https://api.clavis.to/catalog/model/qwen3.6-flash
qwen3.6-max-preview,request_failed,404,404 Client Error: Not Found for url: https://api.clavis.to/catalog/model/qwen3.6-max-preview
qwen3.6-plus,request_failed,404,404 Client Error: Not Found for url: https://api.clavis.to/catalog/model/qwen3.6-plus
qwen3.7-flash,request_failed,404,404 Client Error: Not Found for url: https://api.clavis.to/catalog/model/qwen3.7-flash
qwen3.7-max,request_failed,404,404 Client Error: Not Found for url: https://api.clavis.to/catalog/model/qwen3.7-max
qwen3.7-max-preview,request_failed,404,404 Client Error: Not Found for url: https://api.clavis.to/catalog/model/qwen3.7-max-preview
qwen3.7-plus,request_failed,404,404 Client Error: Not Found for url: https://api.clavis.to/catalog/model/qwen3.7-plus
qwen3.8-max,request_failed,404,404 Client Error: Not Found for url: https://api.clavis.to/catalog/model/qwen3.8-max
qwq-plus,request_failed,404,404 Client Error: Not Found for url: https://api.clavis.to/catalog/model/qwq-plus
text-embedding-v3,request_failed,404,404 Client Error: Not Found for url: https://api.clavis.to/catalog/model/text-embedding-v3
text-embedding-v4,request_failed,404,404 Client Error: Not Found for url: https://api.clavis.to/catalog/model/text-embedding-v4
